iter	Passed	Remaining
1040	6248	2755
1041	6254	2748
1042	6259	2742
1043	6264	2736
1044	6269	2729
1045	6275	2723
1046	6280	2717
1047	6286	2711
1048	6291	2704
1049	6296	2698
1050	6302	2692
1051	6307	2686
1052	6313	2679
1053	6318	2673
1054	6323	2667
1055	6329	2661
1056	6334	2654
1057	6339	2648
1058	6345	2642
1059	6350	2636
1060	6355	2629
1061	6361	2623
1062	6366	2617
1063	6371	2610
1064	6376	2604
1065	6382	2598
1066	6387	2592
1067	6392	2585
1068	6398	2579
1069	6403	2573
1070	6408	2567
1071	6414	2560
1072	6419	2554
1073	6424	2548
1074	6430	2542
1075	6435	2535
1076	6440	2529
1077	6446	2523
1078	6450	2516
1079	6456	2510
1080	6461	2504
1081	6466	2498
1082	6471	2491
1083	6477	2485
1084	6482	2479
1085	6487	2473
1086	6492	2466
1087	6497	2460
1088	6503	2454
1089	6508	2448
1090	6513	2441
1091	6518	2435
1092	6523	2429
1093	6529	2423
1094	6533	2416
1095	6538	2410
1096	6544	2404
1097	6549	2397
1098	6555	2391
1099	6560	2385
1100	6565	2379
1101	6570	2373
1102	6575	2366
1103	6580	2360
1104	6586	2354
1105	6591	2348
1106	6596	2341
1107	6601	2335
1108	6607	2329
1109	6612	2323
1110	6617	2316
1111	6622	2310
1112	6627	2304
1113	6632	2298
1114	6637	2291
1115	6642	2285
1116	6647	2279
1117	6651	2272
1118	6656	2266
1119	6662	2260
1120	6666	2254
1121	6671	2247
1122	6677	2241
1123	6682	2235
1124	6686	2228
1125	6691	2222
1126	6696	2216
1127	6701	2210
1128	6707	2204
1129	6712	2197
1130	6716	2191
1131	6722	2185
1132	6727	2179
1133	6732	2172
1134	6737	2166
1135	6742	2160
1136	6747	2154
1137	6752	2147
1138	6758	2141
1139	6763	2135
1140	6768	2129
1141	6773	2123
1142	6779	2117
1143	6784	2111
1144	6789	2105
1145	6794	2098
1146	6799	2092
1147	6804	2086
1148	6809	2080
1149	6814	2074
1150	6820	2067
1151	6825	2061
1152	6829	2055
1153	6834	2049
1154	6839	2042
1155	6844	2036
1156	6849	2030
1157	6854	2024
1158	6859	2018
1159	6864	2012
1160	6869	2005
1161	6875	1999
1162	6880	1993
1163	6885	1987
1164	6890	1981
1165	6895	1975
1166	6900	1969
1167	6905	1962
1168	6910	1956
1169	6916	1950
1170	6921	1944
1171	6926	1938
1172	6931	1932
1173	6936	1926
1174	6941	1920
1175	6947	1913
1176	6952	1907
1177	6957	1901
1178	6962	1895
1179	6967	1889
1180	6972	1883
1181	6977	1877
1182	6983	1871
1183	6988	1865
1184	6993	1858
1185	6998	1852
1186	7004	1846
1187	7009	1840
1188	7014	1834
1189	7020	1828
1190	7025	1822
1191	7030	1816
1192	7036	1810
1193	7041	1804
1194	7046	1798
1195	7052	1792
1196	7057	1786
1197	7062	1780
1198	7067	1774
1199	7072	1768
1200	7077	1762
1201	7082	1756
1202	7088	1749
1203	7093	1743
1204	7098	1737
1205	7104	1731
1206	7109	1725
1207	7115	1719
1208	7120	1713
1209	7125	1707
1210	7131	1701
1211	7136	1695
1212	7141	1689
1213	7147	1683
1214	7152	1677
1215	7157	1671
1216	7163	1665
